Modulus of elasticity – Inner – Warp (MPa),Modulus of elasticity – Inner – Weft (MPa),Shear modulus - Inner (MPa),Modulus of elasticity – Outer – Warp (MPa),Modulus of elasticity – Outer – Weft (MPa),Shear modulus - Outer (MPa),Friction coefficient,Excess Length (m)
100,340,3.88,90,103,8,0.2,0.383
100,340,3.88,90,250,1.3,0.1,0.636
100,340,3.88,90,250,1.3,0.2,0.753
100,340,3.88,90,250,1.79,0.1,0.635
100,340,3.88,90,250,1.79,0.2,0.774
100,340,3.88,90,250,6.62,0.1,0.76
100,340,3.88,90,250,6.62,0.2,0.825
100,340,3.88,90,250,8,0.1,0.727
100,340,3.88,90,250,8,0.2,0.767
100,340,3.88,90,300,1.3,0.1,0.614
100,180,2.807,90,103,1.79,0.2,0.148
100,340,3.88,90,300,1.3,0.2,0.712
100,340,3.88,90,300,1.79,0.1,0.095
100,340,3.88,90,300,1.79,0.2,0.795
100,340,3.88,90,300,6.62,0.1,0.643
100,340,3.88,90,300,6.62,0.2,0.656
100,340,3.88,90,300,8,0.1,0.719
100,340,3.88,90,300,8,0.2,0.522
100,340,3.88,90,70,1.3,0.1,0.534
100,340,3.88,90,70,1.3,0.2,0.604
100,340,3.88,90,70,1.79,0.1,0.508
100,180,2.807,90,103,6.62,0.1,0.243
100,340,3.88,90,70,1.79,0.2,0.681
100,340,3.88,90,70,6.62,0.1,0.532
100,340,3.88,90,70,6.62,0.2,0.718
100,340,3.88,90,70,8,0.1,0.608
100,340,3.88,90,70,8,0.2,0.709
100,340,4.812,150,103,1.3,0.1,0.683
100,340,4.812,150,103,1.3,0.2,0.712
100,340,4.812,150,103,1.79,0.1,0.679
100,340,4.812,150,103,1.79,0.2,0.688
100,340,4.812,150,103,6.62,0.1,0.646
100,180,2.807,90,103,6.62,0.2,0.39
100,340,4.812,150,103,6.62,0.2,0.762
100,340,4.812,150,103,8,0.1,0.61
100,340,4.812,150,103,8,0.2,0.793
100,340,4.812,150,250,1.3,0.1,0.749
100,340,4.812,150,250,1.3,0.2,0.918
100,340,4.812,150,250,1.79,0.1,0.669
100,340,4.812,150,250,1.79,0.2,0.794
100,340,4.812,150,250,6.62,0.1,0.599
100,340,4.812,150,250,6.62,0.2,0.895
100,340,4.812,150,250,8,0.1,0.652
100,180,2.807,90,103,8,0.1,0.275
100,340,4.812,150,250,8,0.2,0.974
100,340,4.812,150,300,1.3,0.1,0.711
100,340,4.812,150,300,1.3,0.2,0.834
100,340,4.812,150,300,1.79,0.1,0.723
100,340,4.812,150,300,1.79,0.2,0.857
100,340,4.812,150,300,6.62,0.1,0.596
100,340,4.812,150,300,6.62,0.2,0.938
100,340,4.812,150,300,8,0.1,0.692
100,340,4.812,150,300,8,0.2,0.787
100,340,4.812,150,70,1.3,0.1,0.593
100,180,2.807,90,103,8,0.2,0.3
100,340,4.812,150,70,1.3,0.2,0.724
100,340,4.812,150,70,1.79,0.1,0.607
100,340,4.812,150,70,1.79,0.2,0.714
100,340,4.812,150,70,6.62,0.1,0.608
100,340,4.812,150,70,6.62,0.2,0.443
100,340,4.812,150,70,8,0.1,0.658
100,340,4.812,150,70,8,0.2,0.698
100,340,4.812,180,103,1.3,0.1,0.669
100,340,4.812,180,103,1.3,0.2,0.792
100,340,4.812,180,103,1.79,0.1,0.694
100,180,2.807,90,250,1.3,0.1,0.301
100,340,4.812,180,103,1.79,0.2,0.696
100,340,4.812,180,103,6.62,0.1,0.62
100,340,4.812,180,103,6.62,0.2,0.606
100,340,4.812,180,103,8,0.1,0.667
100,340,4.812,180,103,8,0.2,0.782
100,340,4.812,180,250,1.3,0.1,0.684
100,340,4.812,180,250,1.3,0.2,0.803
100,340,4.812,180,250,1.79,0.1,0.7
100,340,4.812,180,250,1.79,0.2,0.852
100,340,4.812,180,250,6.62,0.1,0.636
100,180,2.807,90,250,1.3,0.2,0.463
100,340,4.812,180,250,6.62,0.2,0.891
100,340,4.812,180,250,8,0.1,0.648
100,340,4.812,180,250,8,0.2,1.035
100,340,4.812,180,300,1.3,0.1,0.763
100,340,4.812,180,300,1.3,0.2,0.818
100,340,4.812,180,300,1.79,0.1,0.738
100,340,4.812,180,300,1.79,0.2,0.824
100,340,4.812,180,300,6.62,0.1,0.727
100,340,4.812,180,300,6.62,0.2,0.861
100,340,4.812,180,300,8,0.1,0.64
100,180,2.807,90,250,1.79,0.1,0.272
100,340,4.812,180,300,8,0.2,3.076
100,340,4.812,180,70,1.3,0.1,0.693
100,340,4.812,180,70,1.3,0.2,0.728
100,340,4.812,180,70,1.79,0.1,0.598
100,340,4.812,180,70,1.79,0.2,0.718
100,340,4.812,180,70,6.62,0.1,0.643
100,340,4.812,180,70,6.62,0.2,0.831
100,340,4.812,180,70,8,0.1,0.646
100,340,4.812,180,70,8,0.2,0.693
100,340,4.812,70,103,1.3,0.1,0.496
100,180,2.807,90,250,1.79,0.2,0.305
100,340,4.812,70,103,1.3,0.2,0.685
100,340,4.812,70,103,1.79,0.1,0.383
100,340,4.812,70,103,1.79,0.2,0.707
100,340,4.812,70,103,6.62,0.1,0.347
100,340,4.812,70,103,6.62,0.2,0.335
100,340,4.812,70,103,8,0.1,0.36
100,340,4.812,70,103,8,0.2,0.738
100,340,4.812,70,250,1.3,0.1,0.572
100,340,4.812,70,250,1.3,0.2,0.756
100,340,4.812,70,250,1.79,0.1,0.589
100,180,2.807,90,250,6.62,0.1,0.273
100,180,2.807,150,250,1.3,0.2,0.501
100,340,4.812,70,250,1.79,0.2,0.74
100,340,4.812,70,250,6.62,0.1,0.695
100,340,4.812,70,250,6.62,0.2,0.761
100,340,4.812,70,250,8,0.1,0.678
100,340,4.812,70,250,8,0.2,0.883
100,340,4.812,70,300,1.3,0.1,0.721
100,340,4.812,70,300,1.3,0.2,0.163
100,340,4.812,70,300,1.79,0.1,0.632
100,340,4.812,70,300,1.79,0.2,0.403
100,340,4.812,70,300,6.62,0.1,0.633
100,180,2.807,90,250,6.62,0.2,0.3
100,340,4.812,70,300,6.62,0.2,-1.924
100,340,4.812,70,300,8,0.1,0.634
100,340,4.812,70,300,8,0.2,0.18
100,340,4.812,70,70,1.3,0.1,0.462
100,340,4.812,70,70,1.3,0.2,0.631
100,340,4.812,70,70,1.79,0.1,0.38
100,340,4.812,70,70,1.79,0.2,0.621
100,340,4.812,70,70,6.62,0.1,0.456
100,340,4.812,70,70,6.62,0.2,0.546
100,340,4.812,70,70,8,0.1,0.362
100,180,2.807,90,250,8,0.1,0.065
100,340,4.812,70,70,8,0.2,0.609
100,340,4.812,90,103,1.3,0.1,0.554
100,340,4.812,90,103,1.3,0.2,0.699
100,340,4.812,90,103,1.79,0.1,0.524
100,340,4.812,90,103,1.79,0.2,0.703
100,340,4.812,90,103,6.62,0.1,0.607
100,340,4.812,90,103,6.62,0.2,0.702
100,340,4.812,90,103,8,0.1,0.534
100,340,4.812,90,103,8,0.2,0.715
100,340,4.812,90,250,1.3,0.1,0.59
100,180,2.807,90,250,8,0.2,0.459
100,340,4.812,90,250,1.3,0.2,0.767
100,340,4.812,90,250,1.79,0.1,0.712
100,340,4.812,90,250,1.79,0.2,0.784
100,340,4.812,90,250,6.62,0.1,0.675
100,340,4.812,90,250,6.62,0.2,0.782
100,340,4.812,90,250,8,0.1,0.723
100,340,4.812,90,250,8,0.2,0.751
100,340,4.812,90,300,1.3,0.1,0.639
100,340,4.812,90,300,1.3,0.2,0.775
100,340,4.812,90,300,1.79,0.1,0.626
100,180,2.807,90,300,1.3,0.1,0.194
100,340,4.812,90,300,1.79,0.2,0.588
100,340,4.812,90,300,6.62,0.1,0.611
100,340,4.812,90,300,6.62,0.2,0.762
100,340,4.812,90,300,8,0.1,0.698
100,340,4.812,90,300,8,0.2,0.755
100,340,4.812,90,70,1.3,0.1,0.549
100,340,4.812,90,70,1.3,0.2,0.641
100,340,4.812,90,70,1.79,0.1,0.634
100,340,4.812,90,70,1.79,0.2,0.652
100,340,4.812,90,70,6.62,0.1,0.589
100,180,2.807,90,300,1.3,0.2,0.425
100,340,4.812,90,70,6.62,0.2,0.521
100,340,4.812,90,70,8,0.1,0.597
100,340,4.812,90,70,8,0.2,0.695
140,180,2.807,150,103,1.3,0.1,-0.042
140,180,2.807,150,103,1.3,0.2,0.075
140,180,2.807,150,103,1.79,0.1,-0.026
140,180,2.807,150,103,1.79,0.2,0.092
140,180,2.807,150,103,6.62,0.1,0.033
140,180,2.807,150,103,6.62,0.2,0.058
140,180,2.807,150,103,8,0.1,0.018
100,180,2.807,90,300,1.79,0.1,0.134
140,180,2.807,150,103,8,0.2,0.08
140,180,2.807,150,250,1.3,0.1,-0.023
