,Modulus of elasticity - inner (GPa),Modulus of elasticity - Outer (GPa),Axial load (kN),Friction Coefficient,Total number of snaking,Global snaking length (m),Maximum snaking amplitude (m),Image file name
0,0.1,0.07,6,0.01,8,17.33,0.794297,Snaking_E1_0_E2_0_Fric_0_load_0.tif
1,0.1,0.07,8,0.01,7,31.82,1.7993,Snaking_E1_0_E2_0_Fric_0_load_1.tif
2,0.1,0.07,10,0.01,11,33.88,2.26721,Snaking_E1_0_E2_0_Fric_0_load_2.tif
3,0.1,0.07,12,0.01,10,40.09,4.420730000000001,Snaking_E1_0_E2_0_Fric_0_load_3.tif
4,0.1,0.07,14,0.01,12,42.01,2.53574,Snaking_E1_0_E2_0_Fric_0_load_4.tif
5,0.1,0.07,6,5.0,7,14.87,1.55118,Snaking_E1_0_E2_0_Fric_1_load_0.tif
6,0.1,0.07,8,5.0,13,31.36,1.7744099999999998,Snaking_E1_0_E2_0_Fric_1_load_1.tif
7,0.1,0.07,10,5.0,10,34.87,2.90338,Snaking_E1_0_E2_0_Fric_1_load_2.tif
8,0.1,0.07,12,5.0,9,39.86,2.56268,Snaking_E1_0_E2_0_Fric_1_load_3.tif
9,0.1,0.07,14,5.0,8,42.86,3.87805,Snaking_E1_0_E2_0_Fric_1_load_4.tif
10,0.1,0.07,6,10.0,8,18.76,0.969158,Snaking_E1_0_E2_0_Fric_2_load_0.tif
11,0.1,0.07,8,10.0,10,30.44,1.7145299999999999,Snaking_E1_0_E2_0_Fric_2_load_1.tif
12,0.1,0.07,10,10.0,9,33.4,4.12783,Snaking_E1_0_E2_0_Fric_2_load_2.tif
13,0.1,0.07,12,10.0,10,37.18,3.7063599999999997,Snaking_E1_0_E2_0_Fric_2_load_3.tif
14,0.1,0.07,14,10.0,10,43.0,4.05813,Snaking_E1_0_E2_0_Fric_2_load_4.tif
15,0.1,0.07,6,15.0,9,18.81,0.9117559999999999,Snaking_E1_0_E2_0_Fric_3_load_0.tif
16,0.1,0.07,8,15.0,7,26.16,2.12521,Snaking_E1_0_E2_0_Fric_3_load_1.tif
17,0.1,0.07,10,15.0,9,37.18,2.85054,Snaking_E1_0_E2_0_Fric_3_load_2.tif
18,0.1,0.07,12,15.0,8,34.77,4.514130000000001,Snaking_E1_0_E2_0_Fric_3_load_3.tif
19,0.1,0.07,14,15.0,10,41.74,5.89991,Snaking_E1_0_E2_0_Fric_3_load_4.tif
20,0.1,0.07,6,20.0,9,19.78,0.874445,Snaking_E1_0_E2_0_Fric_4_load_0.tif
21,0.1,0.07,8,20.0,8,26.22,2.0550900000000003,Snaking_E1_0_E2_0_Fric_4_load_1.tif
22,0.1,0.07,10,20.0,9,35.51,3.26554,Snaking_E1_0_E2_0_Fric_4_load_2.tif
23,0.1,0.07,12,20.0,9,39.83,2.67777,Snaking_E1_0_E2_0_Fric_4_load_3.tif
24,0.1,0.07,14,20.0,12,44.76,4.79973,Snaking_E1_0_E2_0_Fric_4_load_4.tif
25,0.1,0.07,6,25.0,7,14.88,1.46825,Snaking_E1_0_E2_0_Fric_5_load_0.tif
26,0.1,0.07,8,25.0,9,31.73,2.11175,Snaking_E1_0_E2_0_Fric_5_load_1.tif
27,0.1,0.07,10,25.0,10,36.3,3.45105,Snaking_E1_0_E2_0_Fric_5_load_2.tif
28,0.1,0.07,12,25.0,11,39.94,2.4647200000000002,Snaking_E1_0_E2_0_Fric_5_load_3.tif
29,0.1,0.07,14,25.0,7,39.81,6.023280000000001,Snaking_E1_0_E2_0_Fric_5_load_4.tif
30,0.1,0.07,6,30.0,7,14.82,1.07932,Snaking_E1_0_E2_0_Fric_6_load_0.tif
31,0.1,0.07,8,30.0,9,27.46,2.59611,Snaking_E1_0_E2_0_Fric_6_load_1.tif
32,0.1,0.07,10,30.0,9,37.13,1.99154,Snaking_E1_0_E2_0_Fric_6_load_2.tif
33,0.1,0.07,12,30.0,9,38.17,3.84714,Snaking_E1_0_E2_0_Fric_6_load_3.tif
34,0.1,0.07,14,30.0,11,45.23,1.9911400000000001,Snaking_E1_0_E2_0_Fric_6_load_4.tif
35,0.1,0.07,6,35.0,7,14.39,1.39168,Snaking_E1_0_E2_0_Fric_7_load_0.tif
36,0.1,0.07,8,35.0,12,31.96,2.37668,Snaking_E1_0_E2_0_Fric_7_load_1.tif
